,u,i,ts,label,idx
444,7038,7038,17809.0,0.0,1079
445,506,978,17822.0,0.0,6920
446,99,14559,17823.0,0.0,3141
447,15545,13670,17850.0,0.0,1276
448,15545,13670,17870.0,0.0,3637
449,13075,13171,17880.0,0.0,3463
450,15267,5256,17899.0,0.0,2441
451,15267,5256,17901.0,0.0,6080
452,506,5256,17911.0,0.0,6920
453,2804,14961,17915.0,0.0,6580
454,506,8838,17916.0,0.0,6920
455,7894,7894,17979.0,0.0,6891
456,11379,13616,17985.0,0.0,2802
457,3789,14683,17994.0,0.0,6161
458,506,12590,18004.0,0.0,6920
459,1798,7999,18014.0,0.0,6840
460,1798,11167,18019.0,0.0,5236
461,506,8647,18034.0,0.0,6920
462,800,8373,18058.0,0.0,5519
463,506,14569,18067.0,0.0,6920
464,1798,9902,18068.0,0.0,5236
465,8483,8483,18071.0,0.0,7251
466,1986,12008,18080.0,0.0,6059
467,1986,12008,18080.0,0.0,6058
468,10181,10867,18094.0,0.0,478
469,1986,12008,18096.0,0.0,6743
470,1986,12008,18116.0,0.0,6060
471,1986,12008,18121.0,0.0,6663
472,1986,13932,18130.0,0.0,2969
473,1986,12008,18133.0,0.0,6061
474,15267,4301,18153.0,0.0,6230
475,1986,12008,18162.0,0.0,6750
476,15267,10179,18171.0,0.0,6080
477,15267,10119,18176.0,0.0,6230
478,9501,10119,18190.0,0.0,5957
479,15267,62,18191.0,0.0,6080
480,66,9689,18223.0,0.0,6908
481,15267,13673,18227.0,0.0,6230
482,1750,1833,18233.0,0.0,3046
483,3789,10119,18245.0,0.0,6161
484,11735,13896,18264.0,0.0,7237
485,15267,4895,18278.0,0.0,6230
486,2770,10787,18288.0,0.0,2167
487,506,15073,18305.0,0.0,6920
488,15267,4301,18317.0,0.0,6080
489,800,10801,18329.0,0.0,5294
490,9501,12134,18377.0,0.0,4534
491,506,12961,18380.0,0.0,6920
492,506,13896,18381.0,0.0,6920
493,15267,10119,18395.0,0.0,3345
494,506,13673,18397.0,0.0,6920
495,13075,5573,18408.0,0.0,3463
496,506,10063,18416.0,0.0,6920
497,1547,3888,18418.0,0.0,5252
498,15267,10119,18428.0,0.0,6080
499,2770,2855,18429.0,0.0,2167
500,506,11318,18434.0,0.0,6920
501,10181,8013,18444.0,0.0,478
502,9501,13932,18493.0,0.0,4856
503,506,13050,18495.0,0.0,6920
504,9501,6011,18510.0,0.0,4856
505,506,8361,18517.0,0.0,6920
506,9501,10201,18525.0,0.0,4856
507,15267,10119,18526.0,0.0,156
508,2526,7588,18536.0,0.0,3391
509,1986,705,18540.0,0.0,2968
510,9501,2519,18551.0,0.0,4856
511,8903,8903,18557.0,0.0,5629
512,506,13254,18569.0,0.0,6920
513,1547,8547,18580.0,0.0,5252
514,3789,5577,18583.0,0.0,6161
515,1547,5302,18586.0,0.0,5252
516,506,8351,18587.0,0.0,6920
517,9501,8361,18594.0,0.0,4856
518,506,11844,18601.0,0.0,1251
519,9501,9346,18604.0,0.0,4534
520,12352,9346,18618.0,0.0,269
521,8085,10858,18628.0,0.0,6405
522,15267,13972,18644.0,0.0,3345
523,506,5380,18656.0,0.0,6920
524,10181,5573,18665.0,0.0,179
525,41,699,18665.0,0.0,2804
526,15267,1761,18668.0,0.0,6080
527,13129,14648,18668.0,0.0,3022
528,13129,14648,18670.0,0.0,4041
529,12643,9353,18672.0,0.0,2210
530,8903,8903,18675.0,0.0,474
531,13129,14648,18685.0,0.0,3021
532,13129,14648,18690.0,0.0,3023
533,1266,624,18696.0,0.0,4100
534,13129,14648,18701.0,0.0,3017
535,15185,15185,18704.0,0.0,7062
536,10664,13424,18704.0,0.0,4497
537,13129,14648,18707.0,0.0,2628
538,13129,14648,18708.0,0.0,4042
539,13129,14648,18710.0,0.0,4040
540,13129,14648,18712.0,0.0,2627
